order,urn,name,name_acronym,party,party_acronym,vote,estrato_visual,color_rgba,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
17,urn2,Roberto Chiabra,RC,Alianza para el Progreso,APP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,95,bandeja2,7,-0.033361,-4.036921,0.210225,74.66,-1.75,-78.69,67,OPCION 4,7.1
29,urn2,Heidy Juárez,HJ,Podemos Perú,PP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,92,bandeja2,7,0.052912,-4.001048,0.206249,11.49,-6.71,115.45,68,OPCION 2,7.2
13,urn2,Guido Bellido,GR,Podemos Perú,FP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,93,bandeja2,7,-0.045618,-4.035096,0.20512,74.63,-5.44,-77.63,69,OPCION 4,7.3
4,urn2,Lady Camones,LC,Alianza para el Progreso,APP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,107,bandeja2,7,-0.085561,-4.006167,0.246627,92.2,-97.47,-79.11,70,OPCION 4,7.4
41,urn2,Juan Mori,JM,Acción Popular,FP,INDETERMINADO,Cluster_9,"(0.6, 1.0, 0.2, 1.0)",7094,96,bandeja2,7,-0.057916,-4.031533,0.200999,74.63,-6.02,-77.38,71,OPCION 2,7.5
10,urn2,Alfredo Azurín,AA,Somos Perú,SP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,100,bandeja2,7,-0.091847,-4.023234,0.210894,-9.74,-89.82,22.92,72,OPCION 4,7.6
18,urn2,Miguel Ciccia,MC,Renovación Popular,RP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,94,bandeja2,7,-0.027752,-3.929708,0.204397,56.09,-48.28,-132.88,73,OPCION 2,7.7
31,urn2,Nieves Limachi,NL,Juntos por el Perú,JPP,OPCION 4,Cluster_8,"(1.0, 0.4, 0.7, 1.0)",7094,84,bandeja2,7,0.004438,-4.005742,0.176863,-0.94,51.52,10.05,74,OPCION 4,7.8
14,urn2,Juan Burgos,JB,Podemos Perú,PP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,102,bandeja2,7,-0.070983,-4.021002,0.199306,73.32,-24.09,-71.93,75,OPCION 2,7.9
26,urn2,Noelia Herrera,NH,Renovación Popular,RP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,82,bandeja2,7,-0.024396,-3.942187,0.182707,-68.28,-2.19,19.81,76,OPCION 4,8.0
