order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
39,urn2,Jorge Montoya,JM,Honor y Democracia,HyD,INDETERMINADO,8709,70,bandeja2,1,-0.166128,-3.928564,0.049953,0.08,180.0,-31.83,70,OPCION 4,7.4
46,urn2,Flor Medina,FM,No agrupado,NA,INDETERMINADO,8709,71,bandeja2,1,-0.035609,-4.215371,0.049866,-0.13,0.08,170.08,71,OPCION 2,7.5
45,urn2,Ariana Orué,AO,Podemos Perú,PP,INDETERMINADO,8709,72,bandeja2,1,-0.026261,-4.142847,0.049959,0.04,-0.02,71.52,72,OPCION 4,7.6
38,urn2,Silvia Monteza,SM,Acción Popular,AP,INDETERMINADO,8709,73,bandeja2,1,-0.012292,-3.764044,0.069943,-179.96,-0.08,-75.36,73,OPCION 2,7.7
36,urn2,Elizabeth Medina,EM,Somos Perú,SP,INDETERMINADO,8709,74,bandeja2,1,0.110856,-3.894723,0.069984,0.01,0.02,-17.16,74,OPCION 4,7.8
35,urn2,Pedro Martínez,PM,Acción Popular,AP,OPCION 2,8709,77,bandeja2,1,0.041172,-4.16758,0.049948,0.03,0.02,-65.33,75,OPCION 2,7.9
33,urn2,Jeny López,JL,Fuerza Popular,FP,INDETERMINADO,8709,75,bandeja2,1,0.065147,-3.901392,0.049932,-0.06,0.03,-56.0,76,OPCION 4,8.0
43,urn2,Alejandro Muñante,AM,Renovación Popular,RP,INDETERMINADO,8709,76,bandeja2,1,-0.178441,-3.934105,0.069965,0.08,-179.97,-10.15,77,OPCION 4,8.1
41,urn2,Juan Mori,JM,Acción Popular,FP,INDETERMINADO,8709,78,bandeja2,1,0.123769,-4.02477,0.049951,0.08,0.0,-13.41,78,OPCION 2,8.2
40,urn2,Jorge Morante,JM,Somos Perú,SP,INDETERMINADO,8709,79,bandeja2,1,0.101545,-4.12454,0.069969,-0.0,0.01,57.28,79,OPCION 4,8.3
28,urn2,María Jáuregui,MJ,Renovación Popular,RP,INDETERMINADO,8709,80,bandeja2,1,-0.125916,-3.958611,0.066238,-90.06,-0.04,50.84,80,OPCION 4,8.4
32,urn2,Juan Lizarzaburu,JL,Alianza para el Progreso,APP,INDETERMINADO,8709,81,bandeja2,1,-0.210918,-3.982171,0.05,0.0,180.0,44.23,81,OPCION 2,8.5
29,urn2,Heidy Juárez,HJ,Podemos Perú,PP,INDETERMINADO,8709,82,bandeja2,1,-0.020312,-3.844303,0.049998,-0.01,-0.01,4.1,82,VICIADO,8.6
34,urn2,José Luna,JL,Podemos Perú,PP,INDETERMINADO,8709,83,bandeja2,1,0.052159,-3.826308,0.069995,179.99,0.01,-17.26,83,OPCION 2,8.7
30,urn2,Elva Julon,EJ,Alianza para el Progreso,APP,INDETERMINADO,8709,84,bandeja2,1,0.188406,-3.866034,0.049997,-0.0,0.0,-64.7,84,OPCION 2,8.8
25,urn2,Paul Gutiérrez,PG,Somos Perú,SP,INDETERMINADO,8709,85,bandeja2,1,-0.092906,-4.064961,0.049976,-0.01,0.01,-75.03,85,OPCION 4,8.9
23,urn2,Jhaec Espinoza,JE,Podemos Perú,PP,INDETERMINADO,8709,86,bandeja2,1,0.14257,-3.957429,0.069984,0.01,-0.02,-159.14,86,OPCION 4,9.0
27,urn2,Raúl Huamán,RH,Fuerza Popular,FP,INDETERMINADO,8709,87,bandeja2,1,-0.063901,-4.125923,0.069977,0.01,0.02,20.12,87,OPCION 4,9.1
37,urn2,Isaac Mita,IM,Perú Libre,PL,OPCION 4,8709,90,bandeja2,1,0.05346,-4.092036,0.049968,-0.03,0.02,24.8,88,OPCION 4,9.2
24,urn2,Diana Gonzáles,DG,Avanza País,AvP,INDETERMINADO,8709,88,bandeja2,1,0.013203,-3.869226,0.070031,0.05,0.19,-17.23,89,OPCION 4,9.3
22,urn2,Gladys Echaíz,GE,Honor y Democracia,HyD,INDETERMINADO,8709,89,bandeja2,1,0.07765,-4.003657,0.077124,-2.59,-90.01,-19.4,90,VICIADO,9.4
31,urn2,Nieves Limachi,NL,Juntos por el Perú,JPP,OPCION 4,8709,93,bandeja2,1,-0.028407,-4.214847,0.069882,-0.17,-179.99,-38.75,91,OPCION 4,9.5
17,urn2,Roberto Chiabra,RC,Alianza para el Progreso,APP,INDETERMINADO,8709,91,bandeja2,1,-0.154898,-4.16923,0.069867,-0.23,179.22,34.93,92,OPCION 4,9.6
16,urn2,Eduardo Castillo,EC,Fuerza Popular,FP,INDETERMINADO,8709,92,bandeja2,1,-0.063484,-3.906275,0.049964,-0.03,0.05,14.41,93,OPCION 2,9.7
12,urn2,Diego Bazán,DB,Renovación Popular,RP,INDETERMINADO,8709,94,bandeja2,1,-0.204486,-4.113389,0.077125,-132.16,-90.0,0.0,94,OPCION 2,9.8
26,urn2,Noelia Herrera,NH,Renovación Popular,RP,INDETERMINADO,8709,95,bandeja2,1,0.019514,-3.927673,0.049947,-0.14,0.13,-55.98,95,OPCION 2,9.9
14,urn2,Juan Burgos,JB,Podemos Perú,PP,INDETERMINADO,8709,96,bandeja2,1,-0.124717,-4.076099,0.069993,179.97,0.01,-40.18,96,OPCION 4,10.0
13,urn2,Guido Bellido,GR,Podemos Perú,FP,INDETERMINADO,8709,97,bandeja2,1,-0.057978,-4.055239,0.066247,89.97,-0.0,-75.02,97,OPCION 4,10.1
8,urn2,Rosselli Amuruz,RA,Avanza País,AvP,INDETERMINADO,8709,98,bandeja2,1,-0.074104,-3.899164,0.097078,-115.71,-89.93,50.62,98,OPCION 2,10.2
11,urn2,Rosangella Barbarán,RB,Fuerza Popular,FP,INDETERMINADO,8709,99,bandeja2,1,0.026172,-4.110096,0.069953,179.94,-0.01,15.91,99,OPCION 2,10.3
20,urn2,Victor Cutipa,VC,Juntos por el Perú,JPP,OPCION 4,8709,100,bandeja2,1,-0.00117,-4.076583,0.066249,89.97,0.01,23.79,100,OPCION 4,10.4
21,urn2,Raúl Doroteo,RD,No agrupado,NA,INDETERMINADO,8709,101,bandeja2,1,0.015055,-4.047457,0.066244,90.01,0.01,23.32,101,OPCION 2,10.5
18,urn2,Miguel Ciccia,MC,Renovación Popular,RP,INDETERMINADO,8709,102,bandeja2,1,0.043464,-4.096812,0.089912,179.88,0.02,23.46,102,OPCION 4,10.6
